	chao1	shannon	observed_otus
2.01.M02.S.742851	1002.21052632	6.20427420634	634.0
1.23.M02.S430P.742922	1178.1686747	6.69660243827	694.0
2.05.M02.S.742487	1084.21782178	6.81466030811	703.0
2.10.M02.SB.742651	1030.89690722	6.71707995319	673.0
1.24.M02.S1030A.743577	1001.6635514	7.11554486621	699.0
1.27.M02.S430P.743632	788.986486486	6.36439065129	536.0
1.24.M02.S5P.743032	1158.0	6.59599999643	711.0
2.02.M02.S.742295	998.517241379	6.53349287998	635.0
2.20.M02.SA.743086	1184.93814433	6.77745547318	707.0
3.8.M02.S.742983	984.151898734	6.39771876397	587.0
3.4.M02.S.742860	1140.0	6.70694150736	727.0
3.11.M01.S805.742320	948.678571429	6.18292604324	587.0
3.13.M01.S700.742501	982.541666667	6.12700177158	564.0
2.23.M03.S.9P.742299	1036.95789474	6.04466467927	649.0
2.06.M03.S.6A.742186	1091.79439252	6.65822557871	692.0
3.04.M01.S740.742938	933.4	6.21623847506	551.0
3.06.M01.S700B.742239	847.06097561	6.19221992958	537.0
4.23.M01.S1000.742520	877.75	5.97116744964	542.0
2.03.M01.S2.742408	919.858974359	5.97245829194	546.0
4.12.M01.S600.743062	882.365853659	6.16127411226	564.0
4.20.M01.S1850.743155	926.690140845	6.19463174387	559.0
2.23.M01.S3..742872	827.951612903	5.73203861834	474.0
3.28.M01.S1532.743456	854.223684211	6.13234033086	543.0
4.19.M01.S900.742601	844.838235294	5.73208611104	497.0
3.05.M01.S620.742703	983.16	6.49879520886	636.0
4.09.M01.S1153.742941	736.03	5.74983972356	541.0
2.28.M01.S1830.742590	748.797101449	5.6509443486	469.0
2.01.M01.S2.743462	1093.79710145	6.10785847529	583.0
3.07.M01.S1310.742721	856.5	6.24484648241	542.0
4.10.M01.S800.742594	808.443037975	6.05432367252	528.0
4.24.M01.S1519.743073	953.517241379	6.26309679384	590.0
4.24.M01.S1230.742550	803.705128205	6.11996377588	533.0
4.20.M01.S710.743250	847.0	6.02729524542	538.0
4.22.M01.S700.743349	867.541666667	6.09945139215	536.0
4.15.M01.S800.743027	830.045454545	6.12423777599	507.0
4.20.M01.S1300.742737	999.558823529	6.07073346287	560.0
2.07.M01.S3.743293	865.505263158	6.18950610271	581.0
4.03.M01.S521.742509	990.0	6.22600905038	582.0
4.08.M01.S808.743399	929.467532468	6.11210192581	557.0
3.10.M01.S720.742708	768.7	5.8924838492	497.0
2.29.M01.S535.743508	871.060240964	6.24365239208	551.0
3.28.M01.S1843.743248	933.166666667	6.13893402363	561.0
4.26.M03.S.9A.743064	988.02247191	6.2622937344	627.0
4.15.M03.S.1030A.743013	1332.52586207	6.73784603883	803.0
2.08.F01.S2130.743053	1074.58108108	6.45062390342	609.0
2.14.M01.S.743531	913.756097561	6.25051427952	564.0
1.28.M01.S1.742477	985.098039216	6.62036085364	655.0
2.12.M01.S1.742836	1120.14705882	6.40718630023	594.0
4.09.M01.S1030.742747	890.383561644	6.03312665627	539.0
3.03.M01.S530.742887	776.590909091	5.60637955941	469.0
4.11.M01.S600.742754	1015.88888889	6.35632480418	597.0
1.17.M03.S.743271	952.577464789	5.88658396617	552.0
3.25.M01.S700.743310	974.885416667	6.22195025616	616.0
4.24.M01.S500.743369	918.12345679	6.30256674763	567.0
3.29.M01.S630.742391	892.289156627	6.29152054702	575.0
3.04.M01.S530.743076	902.918918919	5.93636850263	525.0
4.05.M03.S.2P.742762	1162.14814815	5.85565758085	673.0
2.07.F01.S2212.742918	803.887096774	5.23983199639	460.0
1.23.M03.S.11A.743500	837.783505155	6.17388520981	571.0
2.06.F01.S2115.743009	845.178571429	6.05296592379	561.0
1.19.M03.S.743338	1019.03896104	5.7593707846	575.0
3.19.M01.S310.743186	912.0	5.70183598362	506.0
3.17.F01.S915.743410	932.406976744	6.21182530727	582.0
2.06.M01.S1.742783	881.133333333	6.31834923791	557.0
2.05.M01.S.742516	1050.28358209	6.3516912543	582.0
3.05.M01.S730.743135	825.014084507	5.89876677745	501.0
3.23.M01.S500.742213	1038.88888889	6.41064484819	620.0
2.19.M02.S.743579	1066.38709677	6.77833416383	673.0
2.03.M01.S1.743594	846.230769231	5.75199631213	489.0
1.25.M01.S1.743224	976.455696203	6.1843021857	595.0
1.30.M01.S5.742682	1043.4	6.03397288852	576.0
2.28.M01.M.742787	237.285714286	2.7944406769	153.0
2.19.M02.M.742148	336.037037037	4.23553089415	210.0
4.15.M01.M.742458	291.884615385	3.2694620555	188.0
4.19.M01.S500.742776	1019.05882353	6.21420350074	565.0
2.08.M03.S.4P.742580	846.614457831	5.9343015024	543.0
1.29.M03.S.10A.743202	986.011764706	6.04105298312	599.0
2.12.M03.S.930A.743119	1245.55882353	6.70404917013	723.0
2.17.F01.S700A.742866	776.0	5.78762212556	529.0
2.17.M01.S2.742559	1117.97468354	6.49881609801	620.0
2.08.M03.S.645A.742395	928.508196721	5.62430734474	508.0
2.01.M03.S.730A.742314	687.445783133	5.66600603279	489.0
2.02.M03.S.730A.742233	807.93902439	5.81198648193	530.0
3.22.M01.S1800.742370	882.378787879	5.97335869248	524.0
2.01.M03.S.1030P.743277	767.161764706	5.67325880503	489.0
4.17.M01.S700.742145	894.614285714	6.09004453155	541.0
4.09.M01.S610.743572	874.246575342	5.45670910181	504.0
2.29.M02.S.742540	875.558139535	5.67417248817	572.0
4.17.M01.S540.742514	772.0	5.7358402016	478.0
2.13.M03.S.230P.742159	979.774509804	6.42587023451	642.0
2.28.M01.S1300.742238	860.514285714	5.96674122274	541.0
2.10.M03.S.1045A.742216	1287.57142857	6.77468677106	737.0
2.14.M03.S.230A.742425	973.095890411	5.91302352979	590.0
3.22.F01.S715.742235	878.873015873	5.5974071206	493.0
2.15.M03.S.11P.742648	916.85	5.84495127905	534.0
2.08.M01.S2.742604	844.990566038	6.1609338238	603.0
2.13.M03.S.630A.743574	973.97826087	6.16811216092	608.0
2.25.F01.S2000.742278	953.717948718	5.36298720256	428.0
2.05.M03.S.730A.742426	832.783783784	5.72312431145	519.0
2.15.M03.S.320A.743502	1242.76404494	6.49432947455	680.0
2.13.M03.S.8AM.742543	1145.88135593	6.85693950185	753.0
2.15.M03.S.4A.742272	860.448275862	6.14540118699	563.0
2.07.M03.S.5P.742564	790.182926829	5.75310456094	520.0
1.31.M03.S.1030A.743226	753.12987013	5.89052164071	510.0
2.14.M03.S.10P.742521	982.666666667	6.52413102077	640.0
2.19.M01.S1.742285	951.304347826	6.21854514642	546.0
2.14.M03.S.945A.743583	993.443298969	6.60535783318	649.0
3.23.M03.S.8A.743046	1080.47222222	6.43424078908	711.0
2.27.F01.S800.742300	788.918918919	5.40427282781	498.0
2.13.M03.S.1130P.743354	1039.125	6.3007093572	611.0
3.19.F01.S800.743051	711.029850746	5.25365447884	457.0
2.03.M03.S.743091	905.166666667	5.65717889725	500.0
2.09.M02.SA.743460	871.52173913	5.52975432637	535.0
2.15.M03.S.1130A.743433	847.011111111	6.02079154451	562.0
2.03.M01.S3.742581	1085.44827586	6.20154837117	617.0
3.01.M03.S.1030A.742582	1267.67901235	6.04010281748	684.0
3.15.F01.S815.743241	774.988636364	5.70913060625	516.0
2.07.F01.S115A.742769	945.086956522	5.84303713935	550.0
2.11.M03.S.1P.743516	879.224719101	6.05355372413	565.0
2.07.M03.S.7A.743098	837.921875	6.05066991017	508.0
2.17.M02.S.743436	1106.37113402	6.66994993922	695.0
2.07.F01.S1400.743514	943.4	5.63543590828	524.0
3.27.M03.S.11A.743542	1168.92792793	6.61543634471	743.0
4.10.M03.S.743254	858.076923077	4.98384570396	535.0
1.12.M03.S.742751	1008.0	5.84758508722	636.0
4.26.M01.S840.743625	930.064516129	5.73912877526	509.0
4.11.M01.S1500.743407	1048.45121951	6.19349721189	589.0
4.13.M03.S.820A.743341	1138.59550562	6.12575451737	671.0
1.14.M03.S.742905	870.223684211	6.57968347601	559.0
3.5.M02.S.742844	923.6875	6.16782086886	580.0
3.02.F01.S800.742650	809.411764706	5.48870358087	526.0
1.18.M03.S.742135	853.0625	5.39577141408	459.0
3.11.M01.M.742215	373.117647059	4.68406541378	250.0
4.13.M01.M.742917	440.027027027	4.65337318061	269.0
1.26.M01.M.742223	393.428571429	4.79206242718	252.0
2.02.M01.M.743311	414.162790698	4.76298157861	267.0
4.12.M01.M.743047	407.285714286	4.7019172109	263.0
4.11.M01.M.743321	432.894736842	4.75768750694	278.0
4.24.M01.M.742781	477.029411765	4.84159433557	274.0
4.20.M01.M.743565	427.576923077	4.51897895643	241.0
3.01.M01.M.b.743592	370.038461538	4.12778482649	216.0
4.11.M01.S1135.742774	828.181818182	6.05619535722	521.0
2.15.M01.S4.742741	990.569767442	6.47802408811	614.0
4.16.M01.S610.742735	911.8	6.49260884272	580.0
1.28.M01.S2.743256	917.739130435	6.47855025964	606.0
2.07.M01.S2.742204	1050.01234568	6.24667509897	605.0
2.10.M03.M.743616	487.78125	4.93499373941	297.0
1.12.M03.M.742373	365.0	4.38139804128	246.0
1.25.M01.S2.743194	1020.44776119	5.98427665525	567.0
1.22.F01.S.b.742351	916.467532468	5.731584691	544.0
2.21.M01.S8.742867	800.12345679	5.77310807283	500.0
2.29.M01.S2053.742886	843.666666667	5.88120328319	532.0
2.11.M01.S1.742596	1063.22368421	6.49123362329	627.0
2.14.M03.S.845A.742476	1049.80412371	6.47304493353	650.0
3.30.M01.S800.742674	1030.33333333	6.16979286858	577.0
1.21.M01.S2.742445	840.383561644	6.0443562359	534.0
1.26.M01.S2.742611	969.782608696	6.30292653056	615.0
2.04.M01.S.743294	856.346153846	6.04709290732	539.0
4.22.M01.S1030.743078	832.6625	6.00252763769	537.0
3.27.M01.S930.742811	950.098039216	6.35374000791	620.0
2.21.M01.S4.742888	905.142857143	5.67702302288	509.0
2.29.M03.S.12P.742934	1042.88888889	5.76665940668	586.0
3.19.M03.S.2A.743621	1126.86363636	6.29508114722	683.0
2.19.M03.S.11P.742347	1191.03488372	5.95651188232	673.0
3.28.M03.S.742411	1024.44660194	6.29597608402	656.0
3.17.M01.S600.742311	900.263888889	6.19865970285	544.0
2.21.M01.S10.742635	839.325	5.66013068464	513.0
4.16.M03.S.7P.742434	1209.50980392	6.90802876176	746.0
3.08.M01.S1730.742745	809.551724138	5.79173625567	463.0
3.21.M03.S.5P.743200	1015.81818182	5.69948240436	642.0
4.03.M01.S630.742357	911.048780488	6.13203825423	570.0
2.24.M01.S2341.742394	879.28	5.83374441283	522.0
4.20.M01.S1100.742464	955.121621622	6.37565879683	574.0
1.24.M01.S2.742788	922.194805195	6.0680782375	559.0
3.31.M01.S133.743432	1001.55555556	6.28870200053	621.0
2.13.M01.S1.743633	1028.12345679	6.32654299168	593.0
4.25.M01.S1330.743203	956.142857143	5.98855979446	543.0
2.15.M01.S5.742200	856.06097561	6.34798777929	546.0
4.01.M01.S630.743022	978.23880597	6.0025172851	543.0
4.16.M01.S705.742822	959.0	6.5304208882	596.0
3.15.M01.S1100.742992	871.161290323	6.12522141402	555.0
3.01.M01.S535.742399	883.111111111	6.26123026916	572.0
1.24.M03.S.1024A.743373	809.233333333	5.8539777556	556.0
4.07.M01.S1553.742507	830.363636364	5.76193297759	506.0
3.04.F01.S700.743297	817.71	6.32044317782	579.0
1.26.M01.S1.742337	903.394366197	6.2506847198	561.0
1.21.M01.S1.742266	805.220779221	5.8470492239	512.0
2.20.M01.S4.743229	954.563218391	6.43243663939	611.0
2.27.M02.S.743527	1070.79166667	6.27644799988	621.0
3.27.M01.S1317.742643	972.130434783	5.99835374876	546.0
1.21.M01.S3.742856	929.776470588	6.22494031865	581.0
1.22.F01.S.743550	1051.6835443	5.79530149016	592.0
2.25.M01.S1700.742654	779.467532468	5.70279943123	489.0
1.23.M01.S1.742228	1029.83870968	6.54810032356	648.0
3.18.M01.S2120.742409	948.373134328	5.886022546	538.0
2.24.M01.S.743372	919.692307692	6.02470138333	511.0
4.19.M01.S710.742482	911.829787234	6.22662140802	586.0
1.19.M01.S2.743124	927.625	6.31238421096	606.0
2.08.M01.S1.742576	921.639175258	6.27386796485	593.0
1.26.M03.S.742252	984.243243243	5.84766427447	567.0
2.20.M01.S5.742693	945.857142857	6.08099301632	564.0
3.14.M01.S1150.743303	934.961538462	6.22896286215	558.0
3.29.M01.S1230.742812	919.134831461	6.16030320778	575.0
2.01.M01.S1.743006	1070.06741573	6.5212833194	659.0
3.13.M01.S1325.742494	848.258064516	6.21743734207	570.0
4.19.M03.S.11A.743336	976.535714286	5.47436705449	591.0
2.02.M01.S.743408	767.142857143	5.74233131674	480.0
4.12.M03.S.8A.742944	1335.18987342	6.75607741569	725.0
2.26.M01.S820.742669	844.488636364	6.10565168711	553.0
1.21.F01.S.743025	771.176470588	5.54911669988	498.0
4.18.M01.S750.743360	864.709677419	6.05192723073	564.0
2.18.M01.S1.742973	1119.19230769	6.59165226789	622.0
2.07.M01.S4.742420	1043.2	6.44641086891	608.0
3.12.M01.S540.742942	778.666666667	6.32348212894	543.0
4.01.F01.S1100.743362	853.25	5.42024118181	484.0
3.31.M01.S900.743063	984.718309859	6.26565787145	574.0
1.30.M01.S1.743509	1046.44303797	6.30709003958	607.0
3.08.M01.S540.743289	1000.24324324	6.2079191812	583.0
2.29.M01.S618.742965	954.0625	6.25549297704	565.0
2.21.M01.S2.742177	1007.5	6.13002279853	601.0
2.24.M01.S1033.742536	755.118421053	5.84032763343	488.0
3.16.M01.S640.742716	817.443037975	6.00368994174	537.0
2.10.M01.S1.742620	932.243243243	6.44830150126	567.0
2.19.M03.S.8A.742798	1075.21	6.25768408165	679.0
3.10.M01.S1420.743359	947.943661972	6.26734052	544.0
4.04.M03.S.4P.742588	1052.76470588	6.44523285212	678.0
2.21.M01.S9.743113	881.045454545	5.47459204029	533.0
3.16.M01.S350.743317	1079.18181818	6.18998504917	597.0
1.18.M01.S.742305	999.776470588	6.08894494061	582.0
4.22.M01.S805.743288	861.294117647	5.73651280916	494.0
3.29.M03.S.10A.742188	1097.51086957	6.61172923493	679.0
2.21.M01.S5.743461	773.743589744	5.73706283884	487.0
3.31.M01.S734.742714	922.238636364	6.19456563841	577.0
3.13.M01.S840.742503	1013.41333333	6.2578845132	585.0
2.23.M01.S2.743278	771.5	5.50320054535	439.0
2.18.M03.S.6A.742710	766.304347826	4.44168666679	475.0
1.20.M01.S2.742217	904.413793103	6.01568207511	572.0
2.04.M03.S.742868	1036.44444444	6.13906154016	562.0
2.16.F01.S1700.742490	642.109090909	5.30429702268	405.0
3.18.M03.S.7P.743546	998.1953125	6.10934632299	706.0
2.22.M01.S3.742923	739.046153846	5.56050260726	454.0
2.07.M02.S.742419	734.101265823	5.69506048127	502.0
4.23.M03.S.7P.742632	877.854166667	5.12639232022	589.0
3.19.M01.S730.742312	973.0	6.08885956722	546.0
3.31.M03.S.12P.742850	1062.3125	6.24359369395	667.0
2.25.M01.S640.743315	821.6375	5.85752333138	515.0
4.01.M01.S836.742624	886.956521739	6.11839231686	541.0
2.17.M03.S.845A.742875	1035.4125	6.18787051914	621.0
3.08.F01.S745.742430	846.791044776	5.51038734346	497.0
4.12.M01.S935.743104	870.205128205	6.21430577969	550.0
1.26.M02.S850P.742634	1133.65517241	6.79551464994	675.0
2.16.M01.S1.742978	791.237113402	6.5055658057	565.0
2.22.F01.743079	766.109589041	5.78456886389	507.0
3.12.M01.1310.743358	726.430769231	5.65492615031	456.0
3.1.M02.S.743343	1131.69354839	6.90866294753	770.0
2.22.M01.S1.742152	689.217391304	5.38380542493	429.0
3.31.M01.S2000.742164	961.4	6.47340027693	610.0
3.25.M01.S940.743557	1048.50632911	6.09816820934	599.0
2.21.M01.S6.743415	847.576923077	5.72654017393	507.0
2.20.M01.S3.742637	895.048780488	6.07668087047	554.0
1.23.M01.S2.742493	931.304878049	6.35253184674	596.0
4.25.M03.S.2P.743169	970.168539326	5.11110296459	586.0
4.08.M01.S605.743103	963.95	6.16151370154	578.0
