denovo0	seq_953
denovo1	seq_954
denovo2	seq_1003
denovo3	seq_848
denovo4	seq_711
denovo5	seq_892
denovo6	seq_1179
denovo7	seq_488
denovo8	seq_658	seq_486
denovo9	seq_550
denovo10	seq_551
denovo11	seq_898
denovo12	seq_651
denovo13	seq_481	seq_569
denovo14	seq_558
denovo15	seq_597
denovo16	seq_935
denovo17	seq_1202
denovo18	seq_1042
denovo19	seq_1207
denovo20	seq_875
denovo21	seq_1170
denovo22	seq_1130
denovo23	seq_1131
denovo24	seq_729
denovo25	seq_1050
denovo26	seq_725
denovo27	seq_790
denovo28	seq_522
denovo29	seq_520	seq_545
denovo30	seq_886
denovo31	seq_887
denovo32	seq_643
denovo33	seq_338
denovo34	seq_1213
denovo35	seq_809
denovo36	seq_1211
denovo37	seq_1210
denovo38	seq_1216
denovo39	seq_1127
denovo40	seq_1214
denovo41	seq_805
denovo42	seq_704
denovo43	seq_835
denovo44	seq_229
denovo45	seq_836
denovo46	seq_830
denovo47	seq_833
denovo48	seq_832
denovo49	seq_1024
denovo50	seq_636
denovo51	seq_894
denovo52	seq_1021	seq_1203	seq_1151
denovo53	seq_736
denovo54	seq_531
denovo55	seq_821
denovo56	seq_732
denovo57	seq_895
denovo58	seq_731
denovo59	seq_940
denovo60	seq_927
denovo61	seq_943
denovo62	seq_480
denovo63	seq_934
denovo64	seq_1141
denovo65	seq_936
denovo66	seq_1157
denovo67	seq_1221
denovo68	seq_1239
denovo69	seq_1188
denovo70	seq_842
denovo71	seq_624
denovo72	seq_1036
denovo73	seq_1233	seq_1208
denovo74	seq_982
denovo75	seq_1033
denovo76	seq_359
denovo77	seq_455	seq_286
denovo78	seq_1236
denovo79	seq_509
denovo80	seq_508
denovo81	seq_744
denovo82	seq_1065
denovo83	seq_749
denovo84	seq_748
denovo85	seq_808
denovo86	seq_1147	seq_278
denovo87	seq_1146
denovo88	seq_903
denovo89	seq_902
denovo90	seq_904
denovo91	seq_907
denovo92	seq_906
denovo93	seq_1148	seq_251
denovo94	seq_361
denovo95	seq_618
denovo96	seq_1178
denovo97	seq_1001
denovo98	seq_1007
denovo99	seq_1004
denovo100	seq_834
denovo101	seq_1244
denovo102	seq_1008
denovo103	seq_444
denovo104	seq_1242
denovo105	seq_865
denovo106	seq_996
denovo107	seq_997
denovo108	seq_518
denovo109	seq_753
denovo110	seq_993
denovo111	seq_990
denovo112	seq_512
denovo113	seq_260
denovo114	seq_516
denovo115	seq_998
denovo116	seq_515
denovo117	seq_1044
denovo118	seq_293
denovo119	seq_857
denovo120	seq_692
denovo121	seq_695
denovo122	seq_852
denovo123	seq_851
denovo124	seq_850
denovo125	seq_699
denovo126	seq_917
denovo127	seq_1086
denovo128	seq_1087
denovo129	seq_910
denovo130	seq_1085
denovo131	seq_1013
denovo132	seq_1167
denovo133	seq_1161
denovo134	seq_1160
denovo135	seq_560
denovo136	seq_604
denovo137	seq_769
denovo138	seq_768
denovo139	seq_601
denovo140	seq_767
denovo141	seq_760
denovo142	seq_762
denovo143	seq_460
denovo144	seq_1133
denovo145	seq_796
denovo146	seq_688
denovo147	seq_686
denovo148	seq_1246
denovo149	seq_682
denovo150	seq_683
denovo151	seq_1092
denovo152	seq_1194
denovo153	seq_513
denovo154	seq_573
denovo155	seq_673
denovo156	seq_671
denovo157	seq_1073
denovo158	seq_674
denovo159	seq_772
denovo160	seq_770
denovo161	seq_771
denovo162	seq_776
denovo163	seq_679
denovo164	seq_694
denovo165	seq_271
denovo166	seq_1071
denovo167	seq_468
denovo168	seq_1061
denovo169	seq_1063
denovo170	seq_1064
denovo171	seq_874
denovo172	seq_877
denovo173	seq_1113
denovo174	seq_977
denovo175	seq_1183
denovo176	seq_253
denovo177	seq_941
denovo178	seq_1186
denovo179	seq_709
denovo180	seq_707
denovo181	seq_1230
denovo182	seq_542
denovo183	seq_661
denovo184	seq_726
denovo185	seq_1079
denovo186	seq_758
denovo187	seq_1100
denovo188	seq_385
denovo189	seq_787
denovo190	seq_785
denovo191	seq_784
denovo192	seq_1077
denovo193	seq_1076
denovo194	seq_869
denovo195	seq_1101
denovo196	seq_1078
denovo197	seq_862
denovo198	seq_863
denovo199	seq_1105
