candidate sequence ID	candidate nucleotide count	errors	template ID	BLAST percent identity to template	candidate nucleotide count post-NAST
seq_1	93		4348122	97.80	93
seq_2	93		851865	100.00	93
seq_3	93		333042	97.80	93
seq_4	93		520632	96.80	93
seq_5	93		183870	100.00	93
seq_6	93		851865	97.80	93
seq_7	93		4329132	98.90	93
seq_8	93		3148447	96.80	93
seq_9	93		3148447	96.80	93
seq_10	93		292052	93.50	93
seq_11	93		216235	96.80	93
seq_12	93		195496	96.80	93
seq_13	93		289569	100.00	93
seq_14	93		4436545	97.80	93
seq_15	93		529506	97.80	93
seq_16	93		851865	95.70	93
seq_17	93		303217	90.30	93
seq_18	93		300853	92.50	93
seq_19	93		195674	100.00	93
seq_20	93		350681	100.00	93
seq_21	93		693613	97.80	93
seq_22	93		186510	95.70	93
seq_23	93		193666	98.90	93
seq_24	93		174974	100.00	93
seq_25	93		529506	93.50	93
seq_26	93		2088685	92.50	93
seq_27	93		529442	87.10	93
seq_28	93		851865	93.50	93
seq_29	93		755474	93.50	93
seq_30	93		197460	98.90	93
seq_31	93		290018	98.90	93
seq_32	93		174974	95.70	93
seq_33	93		194286	95.70	93
seq_34	93		183870	96.80	93
seq_35	93		234298	97.80	93
seq_36	93		215040	97.80	93
seq_37	93		303217	93.50	93
seq_38	93		4335376	87.10	93
seq_39	93		310215	98.90	93
seq_40	93		2626509	97.80	93
seq_41	93		181121	96.80	93
seq_42	93		4483176	96.80	93
seq_43	93		194286	95.70	93
seq_44	93		514182	92.50	93
seq_45	93		4329132	97.80	93
seq_46	93		192234	100.00	93
seq_47	93		755474	93.50	93
seq_48	93		512191	95.70	93
seq_49	93		810847	94.60	93
seq_50	93		4321845	89.20	93
seq_51	93		529506	95.70	93
seq_52	93		526745	93.50	93
seq_53	93		159007	97.80	93
seq_54	93		347740	95.70	93
seq_55	93		197460	95.70	93
seq_56	93		289730	98.90	93
seq_57	93		197393	97.80	93
seq_58	93		529442	91.40	93
seq_59	93		325539	93.50	93
seq_60	93		289569	92.50	93
seq_61	93		191183	93.50	93
seq_62	93		294709	93.50	93
seq_63	93		183870	96.80	93
seq_64	93		330451	91.40	93
seq_65	93		190084	90.30	93
seq_66	93		159007	97.80	93
seq_67	93		301630	91.40	93
seq_68	93		526745	94.60	93
seq_69	93		191183	97.80	93
seq_70	93		2626509	94.60	93
seq_71	93		2594571	92.50	93
seq_72	93		294289	96.80	93
seq_73	93		190084	96.80	93
seq_74	93		176582	92.50	93
seq_75	93		3148447	95.70	93
seq_76	93		183107	96.80	93
seq_77	93		708925	97.80	93
seq_78	93		266421	90.30	93
seq_79	93		183870	95.70	93
