candidate sequence ID	candidate nucleotide count	errors	template ID	BLAST percent identity to template	candidate nucleotide count post-NAST
1000592 seq_600	93		503372	97.80	93
1007750 seq_392	93		1118969	88.20	93
1009427 seq_1171	93		4467331	95.70	93
1019823 seq_742	93		28429	83.90	93
102471 seq_419	93		303937	94.60	93
1028036 seq_777	93		555844	94.60	93
1028501 seq_944	93		235800	94.60	93
1039584 seq_216	93		4141532	92.50	93
104135 seq_317	93		904322	88.20	93
1047077 seq_735	93		4403574	89.20	93
1050608 seq_780	93		269248	86.00	93
105409 seq_756	93		337993	91.40	93
1057169 seq_136	93		851822	90.30	93
1058762 seq_250	93		368639	92.50	93
1066431 seq_959	93		240970	92.50	93
1066814 seq_295	93		551008	94.60	93
1073476 seq_350	93		195496	87.10	93
1076668 seq_728	93		945326	93.50	93
1076818 seq_567	93		181717	84.90	93
1077373 seq_156	93		158718	89.20	93
1084157 seq_1152	93		837712	93.50	93
1088254 seq_1182	93		4463767	100.00	93
109591 seq_581	93		529501	95.70	93
1098434 seq_383	93		4303992	89.20	93
1099710 seq_472	93		255053	95.70	93
1100972 seq_258	93		697063	98.90	93
1101672 seq_257	93		240970	88.20	93
110192 seq_495	93		263546	95.70	93
1102370 seq_164	93		301630	93.50	93
1103499 seq_537	93		14283	87.10	93
1104908 seq_1118	93		293471	91.40	93
1105376 seq_347	93		716416	94.60	93
1105876 seq_497	93		215040	95.70	93
1106297 seq_1138	93		176559	93.50	93
1107999 seq_1048	93		4447353	100.00	93
1108745 seq_675	93		180402	91.40	93
110944 seq_61	93		191183	93.50	93
1113318 seq_1097	93		579743	90.30	93
1115121 seq_1016	93		310215	91.40	93
1121926 seq_339	93		181121	89.20	93
1125235 seq_355	93		237889	95.70	93
1130846 seq_956	93		368639	91.40	93
113397 seq_561	93		266913	87.10	93
1134896 seq_390	93		4312480	83.90	93
1141071 seq_920	93		729816	94.60	93
1142029 seq_26	93		2088685	92.50	93
1144153 seq_930	93		545371	94.60	93
1148151 seq_583	93		250302	98.90	93
121873 seq_496	93		305127	91.40	93
12294 seq_353	93		368639	93.50	93
12562 seq_557	93		12562	100.00	93
125624 seq_54	93		347740	95.70	93
12564 seq_610	93		904322	83.90	93
